TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,PPFD_IN,VPD,RH,PA,TA,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WD,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,LW_IN_F,PPFD_IN_F,VPD_F,RH_F,PA_F,TA_F,P_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20180101,2.218158888888889,48.64088750000001,139.06234999999998,-9999,0.21316600000000008,199.3481828682171,418.6334495348838,20.84146273242182,52.24290638297871,89.88660638297871,27.684842553191487,8.821397659574467,9.417161276595746,4.712071999999999,2.362544106382978,232.78797765957452,0.6814373260869565,0.595747446808511,39.213744680851065,128.2115106382979,298.00031914893617,236.68776595744686,381.7184255319149,454.33996446808516,20.830042553191486,52.24290638297871,89.88661702127659,27.68489361702128,0.372,0.6990851063829788,125.5566952514018,0.650612330426952,131.90489952322667,1.0
20180102,-3.17348,67.85990714285711,201.7680053333333,-9999,0.2696843617021277,196.77479707641183,413.2285904651161,16.53928082448965,57.58350625000002,90.05993958333335,25.901739583333338,7.214374614583333,8.763969166666667,4.736595554166667,2.307266562500001,173.92844708333337,0.9312870425531916,1.5496087500000009,23.400791666666652,109.63725458333332,264.28231875,268.2638749999999,378.0212083333331,515.5337372916666,16.535520833333333,57.58350625000002,90.05993750000003,25.90177083333334,2.166,0.9206666666666664,108.93719036559942,0.7320148620443797,131.2356172038756,1.0
20180103,-4.836062399999999,90.10379583333334,214.996448,-9999,0.23497545833333325,220.8179937763012,463.7162676744185,19.311140053221113,54.74834791666666,90.18477708333332,26.67161458333333,8.689387708333333,9.04747083333333,4.716475174999999,2.3581807708333336,171.7876229166667,1.1409722291666666,0.35814666666666617,38.74740833333332,130.20021874999995,274.09515833333336,259.8430833333333,364.6766666666665,500.0022814583333,19.302291666666665,54.74834791666666,90.18477083333332,26.67160416666667,1.206,1.1409583333333333,129.5740333644531,-0.3143847964697405,140.84767534540885,1.0
20180104,-3.1647640540540545,69.04581052631579,138.02752307692307,-9999,0.33554095833333336,186.8161196124031,392.3155079069766,14.706932450109289,56.76154791666668,90.54337291666666,24.470745833333336,9.054571270833334,8.237952499999997,4.93480440625,2.6466776875000004,120.61546250000002,1.9005466875,-0.8166097916666671,47.9505625,119.29495000000004,284.7940812500001,242.44741666666675,360.7190208333332,470.0266008333333,14.709458333333338,56.76154791666668,90.54335416666665,24.47070833333333,0.036000000000000004,1.9005416666666668,117.85586458433966,-1.1103835530812172,134.4486789241016,1.0
20180105,-3.9562225806451607,67.58017258064514,190.91048758620687,-9999,0.30558575,231.06084285291004,485.2273335111112,18.25173129739853,48.00894166666668,90.37010625,24.46840625,8.433367708333334,8.015222708333335,5.0308226395833335,2.9969839375,141.85282916666662,1.7401459375,-0.4181020833333329,31.82563333333333,126.09537083333328,303.21905625,277.18043750000004,343.25435416666664,532.7483335000002,18.25239583333334,48.00894166666668,90.37016666666666,24.46841666666666,0.0,1.7401875,126.2400144596745,-0.5039578165286429,131.08430840817232,1.0
20180106,-5.9202369230769225,87.18239583333332,223.6950153846154,-9999,0.188902625,244.54841628571427,513.5506355555555,23.66425126616598,41.52213541666665,90.0575520833333,25.634024999999994,8.268204375000002,8.093889583333334,4.841480256249999,3.3283922083333333,232.58359999999996,0.849363833333333,-0.17430166666666644,33.44230708333333,119.74604666666666,299.66471458333353,274.36408333333327,350.53881250000023,528.0002625,23.65341666666666,41.52213541666665,90.05760416666666,25.634041666666665,0.0,0.8494375000000002,116.67689307093546,-0.08187420363481313,133.9223888967486,1.0
20180107,-2.507064285714287,53.58755384615385,206.56938857142862,-9999,0.1920699565217392,268.4369515767194,563.7168026666667,29.48215334582999,34.870574999999995,89.88865833333334,28.338627083333336,7.937974375,8.553617291666667,5.2469672791666655,3.7373322083333336,208.07048750000004,0.7394936739130438,0.6156791666666666,29.570458333333324,132.77363958333336,298.4377104166667,318.3151875000001,373.95562500000005,611.2845024999998,29.45754166666666,34.870574999999995,89.88866666666668,28.338604166666666,0.053000000000000005,0.7682708333333332,135.93265558691823,0.2896383313919995,126.62371224604207,1.0
20180108,3.6755971428571423,-1.8178562499999988,113.75591166666668,-9999,0.24160034782608705,143.03835336580084,300.3815438636365,23.84518071546184,40.844358333333346,90.03536458333332,27.29652708333333,6.491285062499999,7.785151666666668,4.32062235625,3.8967120625000007,237.1430233333334,0.7554269999999998,1.293787083333333,11.998733333333332,125.35164583333334,297.0358874999999,192.3149999999999,387.0847708333336,367.32474854166674,23.83702083333334,40.844358333333346,90.03541666666666,27.296541666666666,0.4750000000000002,0.759375,114.5171599149844,1.4148674868273057,136.37130319177106,1.0
20180109,-5.221062631578948,101.44125263157896,225.9340344999999,-9999,0.19529660416666664,233.60317834467116,490.5645180952382,23.653031527891002,44.98992916666668,90.05539583333334,27.10946458333333,6.767258333333333,7.353716874999999,5.525446960416668,3.895184187499999,200.85127708333331,0.9006307708333335,0.5864689583333337,32.88212708333334,127.83676875000002,281.3524666666666,344.182,377.3129791666665,659.2627033333333,23.63970833333333,44.98992916666668,90.0554375,27.10947916666667,0.0,0.9006250000000002,123.71758195509086,0.12138239768525345,132.37069655187324,1.0
20180110,-3.9963203448275864,76.12916899999999,209.99618333333333,-9999,0.32742318750000005,245.14509791269836,514.8078796904762,23.546546404678487,43.75850624999999,90.12370416666664,26.942274999999995,7.624265416666668,6.9151443750000015,4.877892247916668,2.7848046875,169.25575208333328,1.7390755208333335,-0.7091,39.34963750000001,143.20127708333328,294.30038333333334,347.58610416666664,375.58131250000014,668.1131447291667,23.53425,43.75850624999999,90.12372916666668,26.942291666666673,0.0,1.7391458333333334,141.1031684861032,-0.7783036124525671,135.4669055628467,1.0
